0000,Zebedee,Jindra,8839206710,6
0001,Karry,Jeanet,4593401505,7
0002,Meredith,Amberger,8363147970,4
0003,Debra,McSparran,6373502326,0
0004,Lulu,Neiland,5225152876,5
0005,Gleda,Moorhouse,1352551985,7
0006,Ursulina,Iliffe,5971434807,0
0007,Ardys,Bims,7598236915,8
0008,Cyndia,Utton,4083782533,11
0009,Ricki,Standen,8613011048,9
0010,Hoyt,Wims,7277265041,7
0011,Noak,Edwin,4633397902,0
0012,Darcey,Albery,1319381321,5
0013,Peggy,Mundie,1047968099,5
0014,Merrel,Beetham,1809280748,22
0015,Alphonso,Burrill,7136893327,0
0016,Sybila,Iveagh,4887209742,3
0017,Trixie,Lukacs,3824198692,2
0018,Dexter,Oliveira,9138993715,6
0019,Elke,McCool,1813869814,0
0020,Cosetta,Henrie,5166333951,9
0021,Robinet,Schieferstein,3596768637,0
0022,Jerrome,McGahey,3316191900,6
0023,Lowe,Scotchbrook,2638435480,8
0024,Kimmi,Haney,8158931164,0
0025,Marika,Willgrass,7855036102,3
0026,Aloysia,Henrionot,4257097560,4
0027,Concordia,Strangman,2837757280,0
0028,Ambros,Golds,6214274325,14
0029,Irwin,Stailey,4559729326,6
0030,Megan,McFee,7352120297,1
0031,Lek,Cotterrill,3311326002,0
0032,Maureen,McEvon,5231381600,2
0033,Meridel,Harrowell,9216057378,9
0034,Harrison,Varden,2976041186,9
0035,Darsie,Soppit,5758755452,8
0036,Kirstin,Dwelley,4121395883,13
0037,Paddy,Ridgwell,6127760203,0
0038,Carlynn,Moreton,2365168160,5
0039,Barrett,Itzig,7116675224,8
0040,Henderson,Earp,6856571713,6
0041,Cazzie,Crichley,4991517287,4
0042,Norah,Watmore,4404570159,23
0043,Emilie,Yakovlev,9577594201,0
0044,See,Wolton,2927742101,5
0045,Dorine,Marusic,6138843241,0
0046,Catrina,Yerby,7807784624,4
0047,Janeen,Wooderson,5894474518,4
0048,Rudy,Morando,1135718829,0
0049,Cassandry,Anfonsi,4043470273,0
0051,Verniy,Lust,0126686666,0
